id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
1041317,Battle for the Western Front,en,2022-10-06,2.9,4,700.758,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",10752,False,/2QR0OpYzPFG84EswxENqcPuHmP.jpg,/ooHEL3XyLYu3hus5cMnpjeH4e7A.jpg,2022,10,6
663712,Terrifier 2,en,2022-10-06,6.76,2052,269.397,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.","27,53",False,/cRdA9xjHBbobw4LJFsQ3j1CgpVq.jpg,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,2022,10,6
882598,Smile,en,2022-09-23,6.7,3214,265.265,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.","27,9648",False,/kMZIMqEXO5MFd5Y1Ha2jZZF4pvF.jpg,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022,9,23
508947,Turning Red,en,2022-03-10,7.368,5205,195.574,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.","16,10751,35,14",False,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022,3,10
414906,The Batman,en,2022-03-01,7.669,10280,187.375,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","80,9648,53",False,/tRS6jvPM9qPrrnx2KRp3ew96Yot.jpg,/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022,3,1
829557,365 Days: This Day,pl,2022-04-26,5.874,1525,181.389,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","10749,18",False,/zBG5Mg29NH9xxpWMMG7BIvKwYhL.jpg,/7qU0SOVcQ8BTJLodcAlulUAG16C.jpg,2022,4,26
361743,Top Gun: Maverick,en,2022-05-21,8.201,9193,164.198,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.","28,18",False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022,5,21
315162,Puss in Boots: The Last Wish,en,2022-12-07,8.222,7746,161.713,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","16,12,14,35,10751",False,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,2022,12,7
338953,Fantastic Beasts: The Secrets of Dumbledore,en,2022-04-06,6.655,4444,159.594,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.","14,12",False,/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg,2022,4,6
601796,Alienoid,ko,2022-07-20,6.8,430,151.217,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.","878,28,14,12",False,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022,7,20
916192,"The Tunnel to Summer, the Exit of Goodbyes",ja,2022-09-09,7.7,169,148.696,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.","16,18,10749,14",False,/vGZHjvyAcmD1mHg5kLwITCgh74U.jpg,/5AGA6pbBKXZTI8k1c6odx30JuQR.jpg,2022,9,9
507086,Jurassic World Dominion,en,2022-06-01,6.7,6058,147.092,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.","12,28,878",False,/698FjyzLdpgXmUSr63LaRwblTmx.jpg,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022,6,1
675353,Sonic the Hedgehog 2,en,2022-03-30,7.503,4972,146.335,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.","28,12,10751,35",False,/8wwXPG22aNMpPGuXnfm3galoxbI.jpg,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022,3,30
76600,Avatar: The Way of Water,en,2022-12-14,7.6,11897,145.264,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.","878,12,28",False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022,12,14
438148,Minions: The Rise of Gru,en,2022-06-29,7.323,3595,131.224,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.","16,35,10751,12",False,/uMSxXLfH7v30gRNBqsQaSP3yqX5.jpg,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022,6,29
