id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
482600,Japanese Mom,ko,2017-02-09,6.179,28,365.991,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...","10749,18",False,,/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg
354912,Coco,en,2017-10-27,8.209,19467,208.169,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","10751,16,10402,12",False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
335984,Blade Runner 2049,en,2017-10-04,7.6,13598,135.311,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.","878,18",False,/ilRyazdMJwN05exqhwK4tMKBYZs.jpg,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg
370663,Below Her Mouth,en,2017-02-10,6.816,1179,120.96,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,"18,10749",False,/xNNF4l1OVscJNchJc5xvejHzTDO.jpg,/nTGbq37hYLuNy7YgMg0gVLma0NS.jpg
315635,Spider-Man: Homecoming,en,2017-07-05,7.3,21725,107.906,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","28,12,878,18",False,/fn4n6uOYcB6Uh89nbNPoU2w80RV.jpg,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg
263115,Logan,en,2017-02-28,7.8,19215,80.551,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.","28,18,878",False,/9X7YweCJw3q8Mcf6GadxReFEksM.jpg,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
321612,Beauty and the Beast,en,2017-03-16,7.0,15394,98.864,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,"10751,14,10749",False,/uU1Mt4JWhDvl4vKb3AfxNsorkoM.jpg,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg
364689,Ferdinand,en,2017-12-09,7.211,2830,124.068,"Ferdinand, a little bull, prefers sitting quietly under a cork tree just smelling the flowers versus jumping around, snorting, and butting heads with other bulls. As Ferdinand grows big and strong, his temperament remains mellow, but one day five men come to choose the ""biggest, fastest, roughest bull"" for the bullfights in Madrid and Ferdinand is mistakenly chosen.  Based on the classic 1936 children's book by Munro Leaf.","16,10751,12,35",False,/sTOhZruocNubL0HxjvdouwCEL9I.jpg,/rMm94JsRfcOPiPVsTRcBiiVBOhz.jpg
260514,Cars 3,en,2017-06-15,6.9,5786,83.705,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!","10751,16,12,35",False,/86TlYSntBzD4pxLNM6U3GoOfGdD.jpg,/fyy1nDC8wm553FCiBDojkJmKLCs.jpg
441168,From Straight A's to XXX,en,2017-02-11,5.9,143,67.437,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.","18,10770",False,/cgUVrqqLdqgxbzkbVOJclwxzoaX.jpg,/30iz1SvT4sGMQCAzfT0NmmumYnf.jpg
47971,xXx: Return of Xander Cage,en,2017-01-13,6.1,8843,69.271,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","28,12,80",False,/4QLdZ2A8mkDWp2rpfgDrwmeCtUW.jpg,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg
324552,John Wick: Chapter 2,en,2017-02-08,7.3,12987,87.464,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.","28,53,80",False,/tHkujDqdPC9VQoFpEWU0QgWIZyM.jpg,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg
181808,Star Wars: The Last Jedi,en,2017-12-13,6.8,15228,77.675,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.","12,28,878",False,/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg
335988,Transformers: The Last Knight,en,2017-06-16,6.056,6159,75.689,"Humans and Transformers are at war. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth. Saving our world falls upon the shoulders of an unlikely alliance: Cade Yeager; Bumblebee; an English Lord; and an Oxford Professor.","28,12,878",False,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg
141052,Justice League,en,2017-11-15,6.082,12894,83.75,"Fuelled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.","28,12,878",False,/2nyaeISu2xIxIgZYNpX4UayY8PN.jpg,/eifGNCSDuxJeS1loAXil5bIGgvC.jpg
126889,Alien: Covenant,en,2017-05-09,6.148,8600,63.95,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.","878,27,53",False,/2qluV8y79LnBBHaMpwewCjQ1Htk.jpg,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg
343668,Kingsman: The Golden Circle,en,2017-09-20,6.966,10302,62.887,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.","28,12,35",False,/eVHVwP71el20fofkCHo78ebQv7Q.jpg,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg
284053,Thor: Ragnarok,en,2017-10-02,7.6,20679,71.867,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.","28,12,878",False,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
419430,Get Out,en,2017-02-24,7.619,17378,69.359,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.","9648,53,27",False,/o8dPH0ZSIyyViP6rjRX1djwCUwI.jpg,/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg
166426,Pirates of the Caribbean: Dead Men Tell No Tales,en,2017-05-23,6.7,11928,72.045,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.","12,28,14",False,/7C921eWK06n12c1miRXnYoEu5Yv.jpg,/qwoGfcg6YUS55nUweKGujHE54Wy.jpg
283995,Guardians of the Galaxy Vol. 2,en,2017-04-19,7.6,21494,61.373,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,"878,12,28",False,/aJn9XeesqsrSLKcHfHP4u5985hn.jpg,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
339403,Baby Driver,en,2017-06-28,7.45,15645,55.221,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","28,80",False,/oVD3ClJBoomSQHtnJPAlMfes8YD.jpg,/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg
281338,War for the Planet of the Apes,en,2017-07-11,7.205,8964,65.43,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.","18,878,10752",False,/8o1d49tMTj2uFPI9c4A2jmBhNkr.jpg,/mMA1qhBFgZX8O36qPPTC016kQl1.jpg
346364,It,en,2017-09-06,7.241,19003,72.854,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",27,False,/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
341174,Fifty Shades Darker,en,2017-02-08,6.485,7590,68.793,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.","18,10749",False,/9dWH18IZf0KdGx0kJaONzWcmD69.jpg,/7CBO9GhsUeMSsWQb47WTPZnKjdj.jpg
339846,Baywatch,en,2017-05-25,6.1,7999,73.152,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit. Together, they uncover a local criminal plot that threatens the future of the Bay.","35,28,80",False,/t6TL7V9IsT4Ktx6YO8b1UYj3agd.jpg,/6HE4xd8zloDqmjMZuhUCCw2UcY1.jpg
398818,Call Me by Your Name,en,2017-07-28,8.13,12047,60.052,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.","10749,18",False,/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg
374720,Dunkirk,en,2017-07-19,7.5,16399,94.57,"The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.","10752,28,18",False,/ddIkmH3TpR6XSc47jj0BrGK5Rbz.jpg,/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg
337339,The Fate of the Furious,en,2017-04-12,6.9,10235,62.74,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.","28,80,53",False,/epIu2irHB8aaHe21kqZHtX5EVyK.jpg,/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg
381288,Split,en,2017-01-19,7.344,17289,46.053,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.","27,53",False,/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg
297762,Wonder Woman,en,2017-05-30,7.2,19858,58.708,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,"28,12,14",False,/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg
473924,Reunion Goals: The Beginning,ko,2017-02-02,8.5,6,74.046,"Are we dating? Even if I slept with her?  Is it alright for friends to sleep with each other?  Pretending not to know, pretending to know all the flirting going around.  The flirting goes on any time and at any place!  Today with this one, tomorrow with that one and who knows who the day after...","35,10749",False,/ji6mDx6xUAEsl65AZRrW6pWKxs4.jpg,/sqJD8nD2zjRaENBsdcqwpJiSGXj.jpg
460229,Kiss and Kill,en,2017-08-08,5.473,56,64.394,"A reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder. When revealing photos of her sexual tryst unexpectedly surface, Katy is forced to submit to whatever her tormentors desire.","9648,53,10749",False,/eQlEPgmcjfwHnLxv4yOzuNcbGoI.jpg,/5QdNwga65k5iCE7fsghSdBmyVld.jpg
532794,Sex Plate 17,ko,2017-11-13,6.2,8,65.779,A woman who can make all of one man’s fantasies come true moves in next door .,"35,18,10749",False,/58qsiLrXYXxSJl5CjeeF7fZbKZH.jpg,/tA9MDNieaa5vhbOs7aY3aQr5fZ5.jpg
353491,The Dark Tower,en,2017-08-03,5.742,5054,38.518,A boy haunted by visions of a parallel world aids its disillusioned guardian in preventing the destruction of the nexus of universes known as the Dark Tower.,"14,28,878",False,/pVVobDO8cezhVPvwD6EBUN0g3mt.jpg,/i9GUSgddIqrroubiLsvvMRYyRy0.jpg
481871,Mother's Job,ko,2017-07-27,5.2,11,62.501,"A young man falls in love with his friend's mother.  Hyun-woo, who returned to the military, starts a part-time job at a bar in a difficult situation, where he meets Yoo-sun, a woman who captures the hearts of customers with her skillful ways. Then one day, Hyun-woo, who was alone with her, finds himself in a shock with his friends Min-seok and Yoo-sun. When Hyun-woo confesses the truth after a hard time, Yoo-sun asks her to keep her relationship secret. Hyun-woo, who failed to reject Min-seok's proposal to live in his own home, begins a breathtaking cohabitation with Yoo-sun.","10749,18",False,/gLwJ5SsmTqqUVn3lahlBacYSrGH.jpg,/oIoJrYsyg34fe66BWndCit1ekUD.jpg
324852,Despicable Me 3,en,2017-06-15,6.5,7122,47.421,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,"28,16,35,10751,12",False,/ftRkFtAGuHngHnLiOxktq0aCVMF.jpg,/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg
298250,Jigsaw,en,2017-10-25,6.2,3659,56.241,"Law enforcement finds itself chasing the ghost of a man dead for over a decade, embroiled in a diabolical new game that's only just begun.","27,9648,53",False,/zqLSQ40LY30ClFk6uw9IEcoPAny.jpg,/7RwHxhdUNS996JPFNB9a7CJtlwR.jpg
400928,Gifted,en,2017-04-07,8.029,5474,43.991,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.","18,35",False,/6MmYsaK6poR8f4R8jsBnJBU5tfd.jpg,/7YB2YrMwIm1g8FyZtlvmVDfRnAT.jpg
274855,Geostorm,en,2017-10-12,6.116,4758,40.146,"After an unprecedented series of natural disasters threatened the planet, the world's leaders came together to create an intricate network of satellites to control the global climate and keep everyone safe. But now, something has gone wrong: the system built to protect Earth is attacking it, and it becomes a race against the clock to uncover the real threat before a worldwide geostorm wipes out everything and everyone along with it.","28,878,53",False,/79X8JkGxzc1tJMi0KxUSaPLooVg.jpg,/nrsx0jEaBgXq4PWo7SooSnYJTv.jpg
406990,What Happened to Monday,en,2017-08-18,7.159,6012,43.733,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.","878,53,18,9648,28",False,/j7ij93mtHXAF8D3PjRSEaKPHpIE.jpg,/atOgZMJpMrTdpqvPiHVPfBhR61l.jpg
488968,Sree Hari Hara Sudhan Swami Ayyappan,ta,2017-04-17,9.0,3,53.32,Sree Hari Hara Sudhan Swami Ayyappan Movie is Fully 3D Animated Devotional Story of Lord Ayyappan.,"16,18,36",False,/nEhuHCbyniPx4nZJ1L9p9eUhbJy.jpg,/fwSLPwvhd5Gdal6bH7a8LHH8NXW.jpg
324849,The Lego Batman Movie,en,2017-02-08,7.226,4963,40.932,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","16,28,35,10751",False,/mo1eLCJTp5JGGz2tKlW98KXpRo0.jpg,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg
399055,The Shape of Water,en,2017-12-01,7.246,12086,32.181,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.","18,14,10749",False,/abirSHwWgKajV3hXhaIR5lcCIXe.jpg,/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg
446354,The Post,en,2017-12-22,7.007,4558,25.883,A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between journalist and government. Inspired by true events.,"18,36",False,/lkssYOczd0S9kLjjcgRcXDox6Mk.jpg,/h4XG3g6uMMPIBPjAoQhC2QIMdkl.jpg
381283,mother!,en,2017-09-13,7.0,6632,29.128,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","18,27,53",False,/z5q5X3QUBW4W2SaprgPsWCnI6GJ.jpg,/2yOKarmL8B4oXaLXUdHu882SUbu.jpg
305470,Power Rangers,en,2017-03-23,6.3,4391,29.603,"Five ordinary teens must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.","28,12,878",False,/2vcdZBbf7sPPzIHfN5ial24UbxK.jpg,/iRAZIEgfB9N0BObV0QI61Nxh92h.jpg
411088,The Invisible Guest,es,2017-01-06,8.113,4516,38.081,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.","18,9648,53",False,/1ZSWFzAP4AZuFCigZZoib2RdcUO.jpg,/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg
395834,Wind River,en,2017-08-03,7.441,5171,46.251,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,"80,9648,53,37",False,/kQGxGXzYiCumY8kmXXpgbZyZQK8.jpg,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg
456160,Backstroke,en,2017-04-01,5.8,23,57.095,"Two runaway teens steal a car with dreams of driving down to Florida, but things take a turn when a stranger appears with unknown intentions.","53,27",False,/rvvlpYHLvVkM6dB8bwn7hJi3Tpk.jpg,/y5aZWVp4mW8sxC6lqGBHsNErjad.jpg
372343,The Snowman,en,2017-08-24,5.2,2216,55.951,Detective Harry Hole investigates the disappearance of a woman whose pink scarf is found wrapped around an ominous looking snowman.,"80,53",False,/rfBUlspOpxPavxrhkhvzlBlwfD8.jpg,/mKsQ8KMOk0VBX26Ev0Lj6EmfGJu.jpg
438478,Pornocracy: The New Sex Multinationals,fr,2017-03-12,7.0,49,38.433,Never before have we watched as much porn as today yet the traditional porn industry is dying. The arrival of web sites showing amateur clips has transformed the way porn is made and consumed. Behind this transformation lies one opaque multinational.,99,False,/2VFUh8spzyNbRNPyncIrFmSwBrd.jpg,/kfa1KHSaewjv9sSrrHDdWNdroyv.jpg
