id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
508442,Soul,en,2020-12-25,8.123,10414,151.105,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.","16,10751,35,14",False,/rQaHA74pevnGsxcKGaoZVGWe9TC.jpg,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg
592834,My Spy,en,2020-01-09,6.9,1225,112.116,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","10751,28,35",False,/4xIBM8RwIvpwMlJSoF6tqFOaB6N.jpg,/n2C6jRK9PtPIs99RQhKtqGlsnsO.jpg
524047,Greenland,en,2020-07-29,7.1,4491,107.296,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.","28,53,18",False,/2Fk3AB8E9dYIBc2ywJkxk8BTyhc.jpg,/bNo2mcvSwIvnx8K6y1euAc1TLVq.jpg
337401,Mulan,en,2020-09-04,6.9,6627,106.912,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.","12,14,28,10751",False,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg
707610,Bosomy Mom,ko,2020-05-06,5.9,11,97.691,"Da-hee gets married to Min-soo who is older than her. Thanks to him, he also gets a son who is not too old, Jae-hyuk, who she tries to get acquainted with, albeit awkwardly. After staying with Na-yeon, she suddenly has to meet Jae-hyuk, and Na-yeon has a date with Jae-hyuk. Min-soo is surprised to find three people coming back home from a date. It made him angry to see his son with two women. Right away, Min-soo seeks Da-hee and asks about Na-yeon. Na-yeon met Min-soo secretly. However, Da-hee who is aware of Min-soo and Da-hee's relationship, shares this fact to Jae-hyun.","18,10749",False,/g4j7H4yDoCR90X1VV2IEvAZ1LAP.jpg,/zarhMAQRWKjjsNBR1rviIXZ5xtt.jpg
522627,The Gentlemen,en,2020-01-01,7.681,5783,86.859,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","28,80,35",False,/tintsaQ0WLzZsTMkTiqtMB3rfc8.jpg,/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg
508439,Onward,en,2020-02-29,7.7,6105,82.463,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.","10751,16,12,35,14",False,/xFxk4vnirOtUxpOEWgA1MCRfy6J.jpg,/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg
454626,Sonic the Hedgehog,en,2020-02-12,7.3,9476,81.751,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.","28,878,35,10751",False,/gnWFYFTTUC62NHSGcMuo4JGK0t4.jpg,/aQvJ5WPzZgYVDrxLX4R6cLJCEaQ.jpg
711978,Bosomy Mom 2,ko,2020-05-27,5.2,5,76.904,"Min-soo and Jae-hyeok is in a good father-and-son relationship. But one day, Min-soo brings Jae-hyeok's young stepmother, Da-hee. Jae-hyeok leaves home to wander around, ran into Da-hee's friend, Na-yeon, and had a little talk. Na-yeon calls Da-hee... Da-hee goes home with Jae-hyeok, and Min-soo doesn't care much. Jae-hyeok tells Da-hee how he feels. Meanwhile, Min-soo who disapproves Da-hee and Jae-hyeok's relationship, calls Na-yeon to kill some time. And Na-yeon who is worried about Da-hee and Min-soo crafts a new plan...",10749,False,/vawcE8k02PmvrAgZE4BuwOcf6Hs.jpg,/3qotZafIXzrgq7SUmHsBY6onRcU.jpg
514593,You Should Have Left,en,2020-06-18,6.0,770,75.622,"In an effort to repair their relationship, a couple books a vacation in the countryside for themselves and their daughter. What starts as a perfect retreat begins to fall apart as one loses their grip on reality, and a sinister force tries to tear them apart.","27,53",False,/chAGSv4DB9s3fsgULpSZQLN7LgN.jpg,/tpOwE6xsWnu4lKeKbKW0R3iClM.jpg
38700,Bad Boys for Life,en,2020-01-15,7.1,8231,75.061,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","53,28,80",False,/eAIHqfS3kXm7kZl4j7ZBfdegyEz.jpg,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg
529203,The Croods: A New Age,en,2020-11-25,7.484,3814,74.7,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.","16,10751,12,14,35",False,/ytTQoYkdpsgtfDWrNFCei8Mfbxu.jpg,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
342470,All the Bright Places,en,2020-02-28,7.7,2847,74.396,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,"10749,18",False,/tcrNJfyNEIqaBR8Ogkgnq5xQJnf.jpg,/4SafxuMKQiw4reBiWKVZJpJn80I.jpg
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,2020-10-16,8.2,3936,72.571,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","16,28,14,53",False,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
589754,The Last Warrior: Root of Evil,ru,2020-12-24,6.9,169,71.777,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.","14,12,35",False,/dMDHMYAokHfdZwZtYUVs4Fu8nnq.jpg,/5VJSIAhSn4qUsg5nOj4MhQhF5wQ.jpg
516486,Greyhound,en,2020-07-09,7.405,2876,69.938,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""Black Pit"" to the front lines of WWII. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.","10752,28,18",False,/xXBnM6uSTk6qqCf0SRZKXcga9Ba.jpg,/kjMbDciooTbJPofVXgAoFjfX8Of.jpg
577922,Tenet,en,2020-08-22,7.184,9817,69.502,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","28,53,878",False,/yY76zq9XSuJ4nWyPDuwkdV7Wt0c.jpg,/aCIFMriQh8rvhxpN1IWGgvH0Tlg.jpg
545609,Extraction,en,2020-04-23,7.323,6014,69.174,A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,"28,53",False,/1R6cvRtZgsYCkh8UFuWFN33xBP4.jpg,/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg
590223,Love and Monsters,en,2020-10-16,7.3,3996,68.821,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.","35,28,12",False,/lA5fOBqTOQBQ1s9lEYYPmNXoYLi.jpg,/718NnyxyQuBQcGWt9sdelA1Zc3h.jpg
514847,The Hunt,en,2020-03-11,6.641,3153,68.736,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.","28,53,27",False,/9R2FuGT0BeZl8usfsfqIcO7KK7v.jpg,/wxPhn4ef1EAo5njxwBkAEVrlJJG.jpg
613504,After We Collided,en,2020-09-02,7.177,5285,66.258,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,"10749,18",False,/6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg
481848,The Call of the Wild,en,2020-02-19,7.556,3686,61.695,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.","12,10751,18",False,/yFRpUmsreYO5Bc0HVBTsJsHIIox.jpg,/33VdppGbeNxICrFUtW2WpGHvfYc.jpg
581392,Peninsula,ko,2020-07-15,6.764,2352,60.247,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,"27,28,53",False,/gEjNlhZhyHeto6Fy5wWy5Uk3A9D.jpg,/eeqvAzCccAZOhU3RfbvHB3s44S6.jpg
495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),en,2020-02-05,6.9,10217,57.136,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.","28,80",False,/pBUXRMyDkh9IBVCFzZxRTblFOpL.jpg,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg
340102,The New Mutants,en,2020-04-02,6.101,3398,56.777,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","878,27,28",False,/2AFZyra0Ddwl2oBDhClvD1qSIL6.jpg,/xZNw9xxtwbEf25NYoz52KdbXHPM.jpg
338762,Bloodshot,en,2020-03-05,6.7,4925,55.766,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.","28,878,12",False,/zlqMASc3vEtdym2OvXgE7fC6onT.jpg,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg
600354,The Father,en,2020-12-23,8.124,3171,55.709,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",18,False,/h3weAFgg06GqchI2xDfufBgSFTj.jpg,/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg
