id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path
810731,Why Did You Kill Me?,en,2021-04-07,5.9,145,7.292,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,"99,80",False,/oamFPL6EMqVNCfF152KiMfrWsXp.jpg,/kYbyICfrtFyg666rVYX2yCb8EKg.jpg
676819,Moneyboys,zh,2021-11-19,6.6,30,7.288,"Fei works illegally as a hustler in order to support his family, yet when he realizes they are willing to accept his money but not his way of life, there is a major breakdown in their relations. Through his relationship to the headstrong Long, Fei seems able to find a new lease on life, but then he encounters Xiaolai, the love of his youth, who confronts him with the guilt of his repressed past.",18,False,/sQu59SqzzKA4jHOFUAVlIgTv95B.jpg,/xW3xt3AKXVML2WcizhagF27YdzU.jpg
874162,Boyfriends of Christmas Past,en,2021-10-23,5.0,22,7.283,"Leading up to Christmas, marketing executive, Lauren, is visited by the ghosts of four ex-boyfriends. She must learn to open her heart or risk losing her best friend, Nate.","35,10749,10770,18",False,/7dEizrcjurHpIFyGX0YRHqlNsxx.jpg,/1AtCO9ZLk0yOolkabEj3TFfBpSB.jpg
752589,Siberian Sniper,ru,2021-03-11,7.2,29,7.283,"After months of exhausting trench warfare, most of Major Belyaev's battalion was destroyed. The area is ruled by German aces snipers. Hope for replenishment collapses when the convoy, in which the Soviet snipers were traveling, falls under a German airstrike. A handful of soldiers and a young hunter from Yakutia, Yegor Cheerin, survive.","10752,36",False,/md2hy7YU7yAKlyuhrAMIob1K1ga.jpg,/mm7HDu4fHXCwdFVCkb089DiMCxr.jpg
785537,Last Summer,tr,2021-07-09,5.9,56,7.279,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.","10749,18",False,/e0lVsZrD6CPX8pt0QIDK7HDoRpy.jpg,/iPtCd4sSWW1q9O5dWEzWKrVeCcY.jpg
735716,Fake News,fr,2021-09-08,4.0,95,7.27,"After stealing a gaming console from migrants, Sébastien tries to sell it to Patrick, a good guy. So far, nothing too serious. But when a rapper straight out of jail, a TV host willing to do anything to go viral and click traffickers get involved... Sébastien and Patrick become France’s most wanted bad guys.","35,18",False,/tkf3lbyMdioLSk1pIjcKvWnvfUe.jpg,/b2UC3Cp96yribP7od4ZZ76DguAT.jpg
775271,Love in Country,en,2021-12-07,4.7,7,7.261,"It's 1968.  Ian and John, two young point men in love in the midst of the Vietnam War, lead their squad in a desperate attempt to survive a botched Phoenix Mission, despite their Captain who has lost his humanity and who will use any means to win, including sacrificing the squad.","18,10752",False,/ccNiNtIq2RQ8risEkUtSG5OXWkg.jpg,/vDCX7shqf6GQCn5gXKjnlxw2ooT.jpg
756651,Hold Me Tight,fr,2021-09-08,6.5,89,7.261,"At dawn, Clarisse takes a last look at her husband and two sleeping children, hesitates to leave a note, and hits the road. A desperate escape that gradually reveals its layers as Clarisse — who seems to have an extra-sensory connection to the family she has left behind — loses herself in the world.",18,False,/mzW2lOPQ75lwbDQ9Vnq5dJnKPGh.jpg,/dVEeFE3s5r6hGQfhuMFlZQZgpMx.jpg
662745,Monica and Friends: Lessons,pt,2021-12-30,8.2,85,7.256,"In the sequel to Turma da Mônica: Laços, we follow Mônica, Jimmy Five, Maggy and Smudge dealing with the consequences of a mistake made at school. At the same time, they face transformations from childhood to adolescence and are about to discover the value of friendship.","10751,35,18,12",False,/sPgQg5DK8GL6uCcUw9s8PuE2Y80.jpg,/xUXqbadZGR5sjdOZ6dRtV4t8QQq.jpg
1154321,Temptation of the Housekeeper,ko,2021-02-10,0.0,0,7.245,,18,False,,/bursxRsY36bJAQGgYIpaIn1TCbl.jpg
